"Raw data packages from the headband:                  ""[ ]"" , i.e. 1 row, is 1 data package"
"[BrainBitSignalData(PackNum=0, Marker=0, O1=0.4, O2=-0.40000038147009037, T3=0.03477939107836826, T4=-0.4), BrainBitSignalData(PackNum=0, Marker=0, O1=0.4, O2=-0.40000038147009037, T3=0.04727902152921823, T4=-0.4)]"
"[BrainBitSignalData(PackNum=1, Marker=0, O1=0.4, O2=-0.40000038147009037, T3=0.050899554156831894, T4=-0.4), BrainBitSignalData(PackNum=1, Marker=0, O1=0.4, O2=-0.40000038147009037, T3=0.0510742674582171, T4=-0.4)]"
"[BrainBitSignalData(PackNum=2, Marker=0, O1=0.4, O2=-0.40000038147009037, T3=0.05039105452638104, T4=-0.4), BrainBitSignalData(PackNum=2, Marker=0, O1=0.4, O2=-0.3875007510192404, T3=0.04942822401831057, T4=-0.39642905848413323)]"
"[BrainBitSignalData(PackNum=3, Marker=0, O1=0.4, O2=-0.2553408196838567, T3=0.04856114250292063, T4=-0.3192313377679231), BrainBitSignalData(PackNum=3, Marker=0, O1=0.4, O2=-0.2428411892330067, T3=0.046749541043797534, T4=-0.30673170731707317)]"
"[BrainBitSignalData(PackNum=4, Marker=0, O1=0.4, O2=-0.17685220418186587, T3=0.04674153017189996, T4=-0.22504866127840165), BrainBitSignalData(PackNum=4, Marker=0, O1=0.4, O2=-0.16435257373101592, T3=0.048457764108432874, T4=-0.2125490308275517)]"
"[BrainBitSignalData(PackNum=5, Marker=0, O1=0.4, O2=-0.13076108051403096, T3=0.05028805760198365, T4=-0.16980721455308395), BrainBitSignalData(PackNum=5, Marker=0, O1=0.4, O2=-0.11826145006318099, T3=0.05112958062131941, T4=-0.157307584102234)]"
"[BrainBitSignalData(PackNum=6, Marker=0, O1=0.4, O2=-0.09945459313830675, T3=0.05269398946188875, T4=-0.13109791860381947), BrainBitSignalData(PackNum=6, Marker=0, O1=0.4, O2=-0.08695496268745678, T3=0.05408177765062108, T4=-0.11859828815296951)]"
"[BrainBitSignalData(PackNum=7, Marker=0, O1=0.4, O2=-0.06758085973821615, T3=0.0552345802636912, T4=-0.09096688362778056), BrainBitSignalData(PackNum=7, Marker=0, O1=0.4, O2=-0.06009946832606156, T3=0.05554128221634123, T4=-0.08061721860620366)]"
"[BrainBitSignalData(PackNum=8, Marker=0, O1=0.4, O2=-0.04631504661087667, T3=0.05680242233507379, T4=-0.06309057530458002), BrainBitSignalData(PackNum=8, Marker=0, O1=0.4, O2=-0.0338154161600267, T3=0.057915170588656036, T4=-0.050590944853730065)]"
"[BrainBitSignalData(PackNum=9, Marker=0, O1=0.4, O2=-0.024547981784803184, T3=0.058324869465703456, T4=-0.03418811243830913), BrainBitSignalData(PackNum=9, Marker=0, O1=0.4, O2=-0.01697465608087166, T3=0.05887304198555182, T4=-0.023709129056099947)]"
"[BrainBitSignalData(PackNum=10, Marker=0, O1=0.4, O2=-0.006814200224113678, T3=0.05971914264597192, T4=-0.01025391602889636), BrainBitSignalData(PackNum=10, Marker=0, O1=0.4, O2=0.003779224185203729, T3=0.06061178265741602, T4=0.002245714421953604)]"
"[BrainBitSignalData(PackNum=11, Marker=0, O1=0.4, O2=0.008063896240135423, T3=0.0605808835800968, T4=0.010527430083685), BrainBitSignalData(PackNum=11, Marker=0, O1=0.4, O2=0.015295043273013375, T3=0.06120916481892092, T4=0.020529957323033643)]"
"[BrainBitSignalData(PackNum=12, Marker=0, O1=0.4, O2=0.02325365376820924, T3=0.061842023698829365, T4=0.03136981141072408), BrainBitSignalData(PackNum=12, Marker=0, O1=0.4, O2=0.03161471520873567, T3=0.062477171399279975, T4=0.042691843692630474)]"
"[BrainBitSignalData(PackNum=13, Marker=0, O1=0.4, O2=0.03376239181746656, T3=0.06231352073051522, T4=0.04677548100994207), BrainBitSignalData(PackNum=13, Marker=0, O1=0.4, O2=0.0404701618863696, T3=0.0629227284648213, T4=0.05601087189757528)]"
"[BrainBitSignalData(PackNum=14, Marker=0, O1=0.4, O2=0.04704060272274277, T3=0.0634308466251818, T4=0.06510283003123286), BrainBitSignalData(PackNum=14, Marker=0, O1=0.4, O2=0.051992084495625014, T3=0.06366316191021149, T4=0.07233016236320722)]"
"[BrainBitSignalData(PackNum=15, Marker=0, O1=0.4, O2=0.05513921274110102, T3=0.06377683999713897, T4=0.07736976372696279), BrainBitSignalData(PackNum=15, Marker=0, O1=0.4, O2=0.06040159263762726, T3=0.06418081682283099, T4=0.08485496984002099)]"
"[BrainBitSignalData(PackNum=16, Marker=0, O1=0.4, O2=0.06650740290394107, T3=0.06470495672698663, T4=0.09328164413608946), BrainBitSignalData(PackNum=16, Marker=0, O1=0.4, O2=0.06876723171923801, T3=0.0645954748110531, T4=0.09729547242686504)]"
"[BrainBitSignalData(PackNum=17, Marker=0, O1=0.4, O2=0.07106864077438428, T3=0.06471716376987817, T4=0.10112314331354458), BrainBitSignalData(PackNum=17, Marker=0, O1=0.4, O2=0.07574698996256825, T3=0.06508871563788952, T4=0.1077591970054598)]"
"[BrainBitSignalData(PackNum=18, Marker=0, O1=0.4, O2=0.08138588083828052, T3=0.06557966764418377, T4=0.11549464749779463), BrainBitSignalData(PackNum=18, Marker=0, O1=0.4, O2=0.0814171613856901, T3=0.06522833369096155, T4=0.11673747705218988)]"
"[BrainBitSignalData(PackNum=19, Marker=0, O1=0.4, O2=0.0847012373936056, T3=0.06552092125026822, T4=0.12154094843001216), BrainBitSignalData(PackNum=19, Marker=0, O1=0.4, O2=0.08878029706983287, T3=0.06582914908327969, T4=0.12733624204277233)]"
"[BrainBitSignalData(PackNum=20, Marker=0, O1=0.4, O2=0.0931248599289512, T3=0.06613318074529718, T4=0.13351834632715828), BrainBitSignalData(PackNum=20, Marker=0, O1=0.4, O2=0.09212693417256754, T3=0.06577192856972558, T4=0.1334073385308633)]"
"[BrainBitSignalData(PackNum=21, Marker=0, O1=0.4, O2=0.09572763035548244, T3=0.06613165486493575, T4=0.1384644875187755), BrainBitSignalData(PackNum=21, Marker=0, O1=0.4, O2=0.09949731778842716, T3=0.06644827503993515, T4=0.14379782085210882)]"
"[BrainBitSignalData(PackNum=22, Marker=0, O1=0.4, O2=0.1017766015783325, T3=0.066492525570417, T4=0.1475064730705958), BrainBitSignalData(PackNum=22, Marker=0, O1=0.4, O2=0.10107584102233985, T3=0.06628233555062824, T4=0.14752859833583673)]"
"[BrainBitSignalData(PackNum=23, Marker=0, O1=0.4, O2=0.1045304341606466, T3=0.06659552249481439, T4=0.15228514889254466), BrainBitSignalData(PackNum=23, Marker=0, O1=0.4, O2=0.10758181341344206, T3=0.06679999046324775, T4=0.15661864911904252)]"
"[BrainBitSignalData(PackNum=24, Marker=0, O1=0.4, O2=0.1087636077533796, T3=0.06674200700951291, T4=0.15882621653196005), BrainBitSignalData(PackNum=24, Marker=0, O1=0.4, O2=0.11060191211882793, T3=0.06685339627589824, T4=0.16166740576496674)]"
"[BrainBitSignalData(PackNum=25, Marker=0, O1=0.4, O2=0.11289225854135375, T3=0.06699530314951244, T4=0.16503578666285196), BrainBitSignalData(PackNum=25, Marker=0, O1=0.4, O2=0.11820384807953652, T3=0.06756636387478245, T4=0.17194001382829077)]"
"[BrainBitSignalData(PackNum=26, Marker=0, O1=0.4, O2=0.11592189399899865, T3=0.06692129795198246, T4=0.17020241756669766), BrainBitSignalData(PackNum=26, Marker=0, O1=0.4, O2=0.11492930882388003, T3=0.06683737453210309, T4=0.16951195670314476)]"
"[BrainBitSignalData(PackNum=27, Marker=0, O1=0.4, O2=0.11920597000691414, T3=0.06730238657225282, T4=0.17501084805569464), BrainBitSignalData(PackNum=27, Marker=0, O1=0.4, O2=0.12242977374055265, T3=0.06750532866032473, T4=0.1794435305056863)]"
"[BrainBitSignalData(PackNum=28, Marker=0, O1=0.4, O2=0.12032405884176144, T3=0.06707007128722314, T4=0.17767999427794864), BrainBitSignalData(PackNum=28, Marker=0, O1=0.4, O2=0.12290928164413609, T3=0.0673599885558973, T4=0.1811639606132132)]"
"[BrainBitSignalData(PackNum=29, Marker=0, O1=0.4, O2=0.12545292420666143, T3=0.06755644565243307, T4=0.1846441122475741), BrainBitSignalData(PackNum=29, Marker=0, O1=0.4, O2=0.12640545502229217, T3=0.0674900698567103, T4=0.18639658584269128)]"
