PackNum,O1,O2,T3,T4,,PackNum,O1,O2,T3,T4
0,0.4,-0.4000003815,0.03477939108,-0.4,-0.3652209904,0,0.4,-0.4000003815,0.04727902153,-0.4
1,0.4,-0.4000003815,0.05089955416,-0.4,,1,0.4,-0.4000003815,0.05107426746,-0.4
2,0.4,-0.4000003815,0.05039105453,-0.4,,2,0.4,-0.387500751,0.04942822402,-0.3964290585
3,0.4,-0.2553408197,0.0485611425,-0.3192313378,,3,0.4,-0.2428411892,0.04674954104,-0.3067317073
4,0.4,-0.1768522042,0.04674153017,-0.2250486613,,4,0.4,-0.1643525737,0.04845776411,-0.2125490308
5,0.4,-0.1307610805,0.0502880576,-0.1698072146,,5,0.4,-0.1182614501,0.05112958062,-0.1573075841
6,0.4,-0.09945459314,0.05269398946,-0.1310979186,,6,0.4,-0.08695496269,0.05408177765,-0.1185982882
7,0.4,-0.06758085974,0.05523458026,-0.09096688363,,7,0.4,-0.06009946833,0.05554128222,-0.08061721861
8,0.4,-0.04631504661,0.05680242234,-0.0630905753,,8,0.4,-0.03381541616,0.05791517059,-0.05059094485
9,0.4,-0.02454798178,0.05832486947,-0.03418811244,,9,0.4,-0.01697465608,0.05887304199,-0.02370912906
10,0.4,-0.006814200224,0.05971914265,-0.01025391603,,10,0.4,0.003779224185,0.06061178266,0.002245714422
11,0.4,0.00806389624,0.06058088358,0.01052743008,,11,0.4,0.01529504327,0.06120916482,0.02052995732
12,0.4,0.02325365377,0.0618420237,0.03136981141,,12,0.4,0.03161471521,0.0624771714,0.04269184369
13,0.4,0.03376239182,0.06231352073,0.04677548101,,13,0.4,0.04047016189,0.06292272846,0.0560108719
14,0.4,0.04704060272,0.06343084663,0.06510283003,,14,0.4,0.0519920845,0.06366316191,0.07233016236
15,0.4,0.05513921274,0.06377684,0.07736976373,,15,0.4,0.06040159264,0.06418081682,0.08485496984
16,0.4,0.0665074029,0.06470495673,0.09328164414,,16,0.4,0.06876723172,0.06459547481,0.09729547243
17,0.4,0.07106864077,0.06471716377,0.1011231433,,17,0.4,0.07574698996,0.06508871564,0.107759197
18,0.4,0.08138588084,0.06557966764,0.1154946475,,18,0.4,0.08141716139,0.06522833369,0.1167374771
19,0.4,0.08470123739,0.06552092125,0.1215409484,,19,0.4,0.08878029707,0.06582914908,0.127336242
20,0.4,0.09312485993,0.06613318075,0.1335183463,,20,0.4,0.09212693417,0.06577192857,0.1334073385
21,0.4,0.09572763036,0.06613165486,0.1384644875,,21,0.4,0.09949731779,0.06644827504,0.1437978209
22,0.4,0.1017766016,0.06649252557,0.1475064731,,22,0.4,0.101075841,0.06628233555,0.1475285983
23,0.4,0.1045304342,0.06659552249,0.1522851489,,23,0.4,0.1075818134,0.06679999046,0.1566186491
24,0.4,0.1087636078,0.06674200701,0.1588262165,,24,0.4,0.1106019121,0.06685339628,0.1616674058
25,0.4,0.1128922585,0.06699530315,0.1650357867,,25,0.4,0.1182038481,0.06756636387,0.1719400138
26,0.4,0.115921894,0.06692129795,0.1702024176,,26,0.4,0.1149293088,0.06683737453,0.1695119567
27,0.4,0.11920597,0.06730238657,0.1750108481,,27,0.4,0.1224297737,0.06750532866,0.1794435305
28,0.4,0.1203240588,0.06707007129,0.1776799943,,28,0.4,0.1229092816,0.06735998856,0.1811639606
29,0.4,0.1254529242,0.06755644565,0.1846441122,,29,0.4,0.126405455,0.06749006986,0.1863965858
30,0.4,0.1263798965,0.06741568319,0.1869184369,,30,0.4,0.1282628329,0.06756750829,0.1895837684
31,0.4,0.131328708,0.06787611759,0.1936086594,,31,0.4,0.1304467492,0.06753432039,0.193179887
32,0.4,0.1305409723,0.06753393892,0.1937028825,,32,0.4,0.1326760604,0.06772505543,0.1966340987
33,0.4,0.1358128889,0.06802985003,0.2007184989,,33,0.4,0.1335778557,0.06754500155,0.1986093508
34,0.4,0.1349500036,0.06772734425,0.200519753,,34,0.4,0.1369962091,0.06792685311,0.2033029588
35,0.4,0.1392518418,0.06808058556,0.2063417495,,35,0.4,0.1368619317,0.06764456524,0.2039339103
36,0.4,0.1387753856,0.06787153995,0.2064523758,,36,0.4,0.1410401736,0.06810004053,0.2094415755
37,0.4,0.1416390816,0.06800505448,0.2105638605,,37,0.4,0.1402135279,0.06778609065,0.2091741649
38,0.4,0.1421857283,0.0679894142,0.2117525213,,38,0.4,0.1447884987,0.06825682474,0.2151170875
39,0.4,0.1434617457,0.06789366521,0.2139848842,,39,0.4,0.1434686122,0.06790434637,0.2141660825
40,0.4,0.1452146008,0.06805426412,0.2164522328,,40,0.4,0.1490544787,0.06848646973,0.2212526524
41,0.4,0.1452336743,0.06774222159,0.2172540829,,41,0.4,0.1452359631,0.06782843383,0.2173280881
42,0.4,0.1476708867,0.06808058556,0.2203748897,,42,0.4,0.1487454879,0.06809965906,0.2219537944
43,0.4,0.147667072,0.06790129461,0.2209253511,,43,0.4,0.1490201464,0.06803862385,0.2226316668
44,0.4,0.1509271154,0.06821982214,0.225051713,,44,0.4,0.1509362707,0.06805159383,0.2254221205
45,0.4,0.1492955678,0.06782233031,0.2237051236,,45,0.4,0.1509622106,0.06801001359,0.2257913835
46,0.4,0.1533498319,0.06826674296,0.2287752426,,46,0.4,0.1515492931,0.06785856996,0.2270262022
47,0.4,0.1515428081,0.06790167608,0.2271677276,,47,0.4,0.1531053096,0.06805846029,0.2291616718
48,0.4,0.1554326586,0.06828505353,0.2320978471,,48,0.4,0.1525445486,0.06776892449,0.2290090838
49,0.4,0.1536500489,0.06795584484,0.2304125122,,49,0.4,0.1552629044,0.06812254727,0.2324438405
50,0.4,0.1566800658,0.06818167513,0.2343248695,,50,0.4,0.1540101566,0.06776930596,0.2314504923
51,0.4,0.1555284076,0.06798102186,0.2333631834,,51,0.4,0.1574578833,0.06820418187,0.2357431753
52,0.4,0.1572042057,0.0680264168,0.2356775624,,52,0.4,0.1557012136,0.0678478888,0.2340376225
53,0.4,0.157187421,0.06802908709,0.2359087333,,53,0.4,0.1595685573,0.06830565291,0.2388464344
54,0.4,0.1575295997,0.06788679875,0.2367414825,,54,0.4,0.1575425697,0.06793753427,0.2368139618
55,0.4,0.1589009847,0.06808020409,0.238546599,,55,0.4,0.1610494242,0.0683006938,0.2412126934
