PackNum,O1,O2,T3,T4,,PackNum,O1,O2,T3,T4,,,,,,,,,,,,
0,0.4,0.4,0.4,0.4,1.6,0,0.3874999881,0.3874999881,0.3874999881,0.3874999881,,,,,,,,,,,,
1,0.388463963,0,0,0,,1,0.3759639511,0,0,0,,,,,,,,,,,,
2,0,0,0,0,,2,0.01249963045,0.01249963045,0.01249963045,0.01249963045,,,,,,,,,,,,
3,0.4,0.4,0.3999217986,0.4,,3,0.4,0.4,0.3890998736,0.4,,,,,,,,,,,,
4,0.4,0.4,0.3792224686,0.4,,4,0.4,0.4,0.3701465322,0.4,,,,,,,,,,,,
5,0.4,0.4,0.3617107026,0.4,,5,0.4,0.4,0.3538520373,0.4,,,,,,,,,,,,
6,0.4,0.4,0.3465198007,0.4,,6,0.4,0.4,0.3396251103,0.4,,,,,,,,,,,,
7,0.4,0.4,0.3331099826,0.4,,7,0.4,0.4,0.3269274968,0.4,,,,,,,,,,,,
8,0.4,0.4,0.3210959636,0.4,,8,0.4,0.4,0.3155528217,0.4,,,,,,,,,,,,
9,0.4,0.4,0.310256491,0.4,,9,0.4,0.4,0.3052451184,0.4,,,,,,,,,,,,
10,0.4,0.4,0.3004504208,0.4,,10,0.4,0.4,0.2958159407,0.4,,,,,,,,,,,,
11,0.4,0.4,0.29141225,0.4,,11,0.4,0.3997016904,0.2872374413,0.4,,,,,,,,,,,,
12,0.4,0.3952789262,0.2831839401,0.4,,12,0.4,0.3910167608,0.2792982858,0.4,,,,,,,,,,,,
13,0.4,0.3868511075,0.275584293,0.4,,13,0.4,0.3828819112,0.2719923706,0.4,,,,,,,,,,,,
14,0.4,0.3790431776,0.2685251889,0.3978687266,,14,0.4,0.3753806833,0.2652155544,0.3941451971,,,,,,,,,,,,
15,0.4,0.3717609136,0.2620127316,0.3904457001,,15,0.4,0.3683395084,0.2589106168,0.3869544858,,,,,,,,,,,,
16,0.4,0.3649978304,0.2559465942,0.3835670314,,16,0.4,0.361769449,0.2530508547,0.3802974513,,,,,,,,,,,,
17,0.4,0.3585944735,0.2502451422,0.3770602961,,17,0.4,0.3555785709,0.2475382305,0.3739825954,,,,,,,,,,,,
18,0.4,0.3526557471,0.2449091386,0.3709834776,,18,0.4,0.3497855661,0.2423593925,0.3680392914,,,,,,,,,,,,
19,0.4,0.3470183821,0.239898529,0.3652213719,,19,0.4,0.3443442768,0.2375349403,0.3625190377,,,,,,,,,,,,
20,0.4,0.3417651575,0.2352434494,0.3599059676,,20,0.4,0.3392028229,0.2330004053,0.357280309,,,,,,,,,,,,
21,0.4,0.3367625587,0.2308187779,0.3547973202,,21,0.4,0.3343982071,0.2287294662,0.3523978733,,,,,,,,,,,,
22,0.4,0.332084591,0.2266847865,0.3500472546,,22,0.4,0.3297660158,0.2246969459,0.3476779439,,,,,,,,,,,,
23,0.4,0.3276103283,0.2227556446,0.3454898314,,23,0.4,0.325491262,0.2208658417,0.3433337625,,,,,,,,,,,,
24,0.4,0.3234088167,0.2190183821,0.3411990559,,24,0.4,0.3213416303,0.217246835,0.3390845672,,,,,,,,,,,,
25,0.4,0.3193728632,0.2155168681,0.33710283,,25,0.4,0.3174597907,0.2138334406,0.3351703026,,,,,,,,,,,,
26,0.4,0.3155608326,0.2121862528,0.3332335789,,26,0.4,0.3137076509,0.2105653864,0.3313540758,,,,,,,,,,,,
27,0.4,0.3119357223,0.2090002146,0.3295440002,,27,0.4,0.3102149107,0.2074808192,0.3277911451,,,,,,,,,,,,
28,0.4,0.3084708295,0.2060060558,0.3260047207,,28,0.4,0.3068167751,0.2045721098,0.3243319743,,,,,,,,,,,,
29,0.4,0.3051989605,0.2031507522,0.3227008082,,29,0.4,0.3036212002,0.2017576234,0.3211009227,,,,,,,,,,,,
30,0.4,0.3020346661,0.2004068379,0.3194655604,,30,0.4,0.3005480772,0.1991086951,0.3179415874,,,,,,,,,,,,
31,0.4,0.2990813247,0.1978383997,0.316447369,,31,0.3990089407,0.2976401307,0.1965795484,0.3149729871,,,,,,,,,,,,
32,0.3964343991,0.2962241137,0.195361133,0.3135153899,,32,0.3939182223,0.2948462437,0.1941720907,0.3121409532,,,,,,,,,,,,
33,0.3914569773,0.2935046134,0.1929944925,0.3108080967,,33,0.3890323534,0.2921725198,0.1918146055,0.3094332785,,,,,,,,,,,,
34,0.3866424433,0.2908041866,0.1907148273,0.3080180245,,34,0.3843761295,0.2895701309,0.1896169563,0.3067755764,,,,,,,,,,,,
35,0.3821399518,0.2883601078,0.1885293851,0.3055251174,,35,0.3799171256,0.2871046897,0.1874921679,0.304229645,,,,,,,,,,,,
36,0.3777877596,0.2859293803,0.1864831796,0.303037551,,36,0.3756957776,0.2847784851,0.1855047088,0.3018786448,,,,,,,,,,,,
37,0.3736507164,0.2836550557,0.1845338674,0.3007483489,,37,0.3716067997,0.2824816537,0.1835794292,0.2995448108,,,,,,,,,,,,
38,0.369651384,0.2814146818,0.1826467349,0.298464106,,38,0.3677356412,0.2803656391,0.1817319696,0.2973921751,,,,,,,,,,,,
39,0.3658523234,0.2792982858,0.1808240708,0.2963091815,,39,0.3639648094,0.2782191069,0.1799512672,0.29520597,,,,,,,,,,,,
40,0.3621715185,0.2772459767,0.1790994445,0.2942149107,,40,0.3604163746,0.2762820018,0.1782396109,0.2932402546,,,,,,,,,,,,
41,0.3586551272,0.2752661469,0.177403047,0.2922095224,,41,0.3569594926,0.2742983573,0.1766042486,0.2912310517,,,,,,,,,,,,
42,0.3552909425,0.2733683332,0.1757840879,0.2902823356,,42,0.3536662614,0.2724745488,0.1749936819,0.2893687147,,,,,,,,,,,,
43,0.3520308991,0.2715311733,0.1742490523,0.2883948215,,43,0.3504786973,0.2706659991,0.1735017524,0.2875109553,,,,,,,,,,,,
44,0.3489341249,0.2698092173,0.1727590301,0.2866236559,,44,0.3474265551,0.2689764681,0.1720342369,0.2857828958,,,,,,,,,,,,
45,0.3459121188,0.268091076,0.1713231767,0.2848872041,,45,0.3444625325,0.2673060105,0.1706205088,0.2840876428,,,,,,,,,,,,
46,0.3430240088,0.2665091195,0.1699277591,0.2832709153,,46,0.3416095177,0.2657057435,0.1692517941,0.2824595284,,,,,,,,,,,,
47,0.3402434733,0.2649225854,0.1685933767,0.2816538636,,47,0.3389022244,0.2641726152,0.1679597549,0.2808844384,,,,,,,,,,,,
48,0.3375853897,0.2634398112,0.1673177407,0.280143242,,48,0.3362525332,0.2626700045,0.166663901,0.2793551248,,,,,,,,,,,,
49,0.3349795675,0.2619494075,0.1660421048,0.2786089693,,49,0.3337317788,0.2612562764,0.1654504447,0.2778898982,,,,,,,,,,,,
50,0.3325118375,0.2605986219,0.1648393296,0.2772444508,,50,0.3312377274,0.2598444556,0.1642598765,0.2764540448,,,,,,,,,,,,
