O1,O2,T3,T4
0.4,0.4,0.4,0.4
0.387499988,0.387499988,0.387499988,0.387499988
0.388463963,0,0,0
0.375963951,0,0,0
0,0,0,0
0.01249963,0.01249963,0.01249963,0.01249963
0.4,0.4,0.399921799,0.4
0.4,0.4,0.389099874,0.4
0.4,0.4,0.379222469,0.4
0.4,0.4,0.370146532,0.4
0.4,0.4,0.361710703,0.4
0.4,0.4,0.353852037,0.4
0.4,0.4,0.346519801,0.4
0.4,0.4,0.33962511,0.4
0.4,0.4,0.333109983,0.4
0.4,0.4,0.326927497,0.4
0.4,0.4,0.321095964,0.4
0.4,0.4,0.315552822,0.4
0.4,0.4,0.310256491,0.4
0.4,0.4,0.305245118,0.4
0.4,0.4,0.300450421,0.4
0.4,0.4,0.295815941,0.4
0.4,0.4,0.29141225,0.4
0.4,0.39970169,0.287237441,0.4
0.4,0.395278926,0.28318394,0.4
0.4,0.391016761,0.279298286,0.4
0.4,0.386851108,0.275584293,0.4
0.4,0.382881911,0.271992371,0.4
0.4,0.379043178,0.268525189,0.397868727
0.4,0.375380683,0.265215554,0.394145197
0.4,0.371760914,0.262012732,0.3904457
0.4,0.368339508,0.258910617,0.386954486
0.4,0.36499783,0.255946594,0.383567031
0.4,0.361769449,0.253050855,0.380297451
0.4,0.358594474,0.250245142,0.377060296
0.4,0.355578571,0.247538231,0.373982595
0.4,0.352655747,0.244909139,0.370983478
0.4,0.349785566,0.242359393,0.368039291
0.4,0.347018382,0.239898529,0.365221372
0.4,0.344344277,0.23753494,0.362519038
0.4,0.341765158,0.235243449,0.359905968
0.4,0.339202823,0.233000405,0.357280309
0.4,0.336762559,0.230818778,0.35479732
0.4,0.334398207,0.228729466,0.352397873
0.4,0.332084591,0.226684787,0.350047255
0.4,0.329766016,0.224696946,0.347677944
0.4,0.327610328,0.222755645,0.345489831
0.4,0.325491262,0.220865842,0.343333763
0.4,0.323408817,0.219018382,0.341199056
0.4,0.32134163,0.217246835,0.339084567
0.4,0.319372863,0.215516868,0.33710283
0.4,0.317459791,0.213833441,0.335170303
0.4,0.315560833,0.212186253,0.333233579
0.4,0.313707651,0.210565386,0.331354076
0.4,0.311935722,0.209000215,0.329544
0.4,0.310214911,0.207480819,0.327791145
0.4,0.30847083,0.206006056,0.326004721
0.4,0.306816775,0.20457211,0.324331974
0.4,0.305198961,0.203150752,0.322700808
0.4,0.3036212,0.201757623,0.321100923
0.4,0.302034666,0.200406838,0.31946556
0.4,0.300548077,0.199108695,0.317941587
0.4,0.299081325,0.1978384,0.316447369
0.399008941,0.297640131,0.196579548,0.314972987
0.396434399,0.296224114,0.195361133,0.31351539
0.393918222,0.294846244,0.194172091,0.312140953
0.391456977,0.293504613,0.192994493,0.310808097
0.389032353,0.29217252,0.191814606,0.309433279
0.386642443,0.290804187,0.190714827,0.308018025
0.38437613,0.289570131,0.189616956,0.306775576
0.382139952,0.288360108,0.188529385,0.305525117
0.379917126,0.28710469,0.187492168,0.304229645
0.37778776,0.28592938,0.18648318,0.303037551
0.375695778,0.284778485,0.185504709,0.301878645
0.373650716,0.283655056,0.184533867,0.300748349
0.3716068,0.282481654,0.183579429,0.299544811
0.369651384,0.281414682,0.182646735,0.298464106
0.367735641,0.280365639,0.18173197,0.297392175
0.365852323,0.279298286,0.180824071,0.296309182
0.363964809,0.278219107,0.179951267,0.29520597
0.362171519,0.277245977,0.179099445,0.294214911
0.360416375,0.276282002,0.178239611,0.293240255
0.358655127,0.275266147,0.177403047,0.292209522
0.356959493,0.274298357,0.176604249,0.291231052
0.355290943,0.273368333,0.175784088,0.290282336
0.353666261,0.272474549,0.174993682,0.289368715
0.352030899,0.271531173,0.174249052,0.288394822
0.350478697,0.270665999,0.173501752,0.287510955
0.348934125,0.269809217,0.17275903,0.286623656
0.347426555,0.268976468,0.172034237,0.285782896
0.345912119,0.268091076,0.171323177,0.284887204
0.344462533,0.267306011,0.170620509,0.284087643
0.343024009,0.26650912,0.169927759,0.283270915
0.341609518,0.265705744,0.169251794,0.282459528
0.340243473,0.264922585,0.168593377,0.281653864
0.338902224,0.264172615,0.167959755,0.280884438
0.33758539,0.263439811,0.167317741,0.280143242
0.336252533,0.262670005,0.166663901,0.279355125
0.334979568,0.261949408,0.166042105,0.278608969
0.333731779,0.261256276,0.165450445,0.277889898
0.332511838,0.260598622,0.16483933,0.277244451
0.331237727,0.259844456,0.164259877,0.276454045
0.330060511,0.25917879,0.16368996,0.275774647
0.328895501,0.258534869,0.163114322,0.275129962
0.327745369,0.257898195,0.162540209,0.274480319
0.326597144,0.257217271,0.16199814,0.273781084
0.325492788,0.256609208,0.161460268,0.273155854
0.324381947,0.256005341,0.160924684,0.272532151
0.323283313,0.2553824,0.160398636,0.271884796
0.322226259,0.25476213,0.159877548,0.271246978
0.321196672,0.254189924,0.159374389,0.270673247
0.320180435,0.253615431,0.158880004,0.270103331
0.319150848,0.252990583,0.158392485,0.269478864
0.318165129,0.252424481,0.157919081,0.268908185
0.31718971,0.251871731,0.157451398,0.268352002
0.316238323,0.251342632,0.15696922,0.267815273
0.31525909,0.250755931,0.156525189,0.267205684
0.314354624,0.250256205,0.15609222,0.266686885
0.313441766,0.249757242,0.155637508,0.266172281
0.312536919,0.249254083,0.155195384,0.265667215
0.31162635,0.248719262,0.154779963,0.265100351
0.310776435,0.248263405,0.154359202,0.264631142
0.30991889,0.247786186,0.153940729,0.264151253
0.309060964,0.247293327,0.153526834,0.263645805
0.308228977,0.246822593,0.153147271,0.263152183
